	489.12	CHF
NL22QHVX4830182943	02669410F	SEK	809.78
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	63.89	
HU15418903579542555773697655	48974836Q	SEK	198.01
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	416.88	USD

Ninety nine rocks
Ninety nine rocks
FR4380461715659NWC070CZ6G58	90028562F	916.76	KK
PT78461997729158096512493	56304499Q	DKK	N/A
PT30733844778295738083204	25605636N	12.25	
MD358F69VEV6FZO01VOURO61	53072757G	960.03	EUR
EE951921847242977559	61873424C	EUR	701.66
SA6268DDJM7GA5WLMM1JRKJP	34532646D	488.79	GBP
ES5968395510953649142207	34532646D		USD
PT78461997729158096512493	56304499Q	469.93	CHF
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	RUB	
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q		511.73
IL162768337079138447997	34532646D	GBP	951.92
BH40JGQHIFW1PP4UDBSEGH	74853928Z	RUB	43.01
MR9765784658715364589276794	46431533F	89.3	RUB
SM08B8001360827MH4HE8ZWQZXP	57926790W	62.1	RUB
LV90GZABEFC7YL8CKPRIT	45820675Y	CHF	985.65
Ninety nine rocks
LI4699421SNVZ5X6KXPLB	73364721B	USD	475.57
GE69NB5057725923884251	68879644A	339.48	USD
MC239817569615Z9IWH7FP0GD04	28744101N	GBP	
AL1705361571EZPDI0TZ70PXVG3H	46431533F	478.66	CHF
	641.36	RUB
SE8587388767724906814093	45566106R	SEK	
IE96EEMA36946143714469	49284913F	EUR	569.07
UA761330313560969297851033726	33964464L	EUR	153.7
LT352161628775605252	52141397Y	428.92	CHF
	RUB	530.23
BG78BJUL967644HKNQNX4N	34712164N	290.35	GBP
UA538840557549114757901561455	69578568A	737.2	SEK
MK36877PHFLXB419P01	56989796M	CHF	634.54
CZ7031956314160953199870	28744101N	17.52	DKK
GE16KV3003565361053066	78114389H	0.94	EUR
TL541166078438313575429	68879644A	CHF	114.81
ES1359823640102827616922	08899412E	GBP	795.67
		940.91
XK959557362593526620	56989796M		188.57
MC842659327688NQYJW0V4CHU32	53597542K	USD	N/A
TN4619849WRCEBMJKF33ZPWG	68959267T	179.0	GBP
DE49048012355817038246	09651809C	GBP	845.54
LI4962509CEPXCTP4493V	90467036D	797.28	USD
PK43OEM16114242963306575	41656686Y	SEK	473.76
BH40JGQHIFW1PP4UDBSEGH	74853928Z	USD	603.77
BH43UTRNJMP4Z74WZBBU	37429471P	EUR	894.96
TR6389231PIDVKBEWMNZGSGERM	39670968Q	USD	945.13
BH45AGIJDDMI1S7IVMPBYX	72652162S	N/A	EUR
IR176571293272654756861852	49284913F	954.19	GBP
HU86965308947958059611096929	90028562F	19.77	USD
ES4718187575330891239993	61478341P	895.32	USD
SM97G79397716272U9A9OBTJV1J	61873424C	RUB	896.04
DO38IL6559206363439644803826	45566106R	USD	846.33
Ninety nine rocks
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	USD	929.08

ES5968395510953649142207	34532646D	375.04	SEK
BR7290090080963467151419029U2	28047910P	RUB	926.38
CH9054905KGSMB7YC5NGI	69578568A	EUR	179.77
LI7752678886R565EPXUC	39670968Q	SEK	
LT352161628775605252	52141397Y	323.03	SEK
ES4718187575330891239993	61478341P	SEK	740.84

RO10CYGJ0LFID9N0E6VIBWJV	32884971P	257.35	SEK
BG64ZYDB016049B51JMUCU	38871658W	DKK	484.74

DO38IL6559206363439644803826	45566106R	DKK	426.2
BA384377280747809071	28047910P	EUR	205.76
KZ68819CZA89W15QWGWQ	45566106R	DKK	479.47
UA964557479287233718409674295	78114389H	CHF	726.6
		SEK
FI1291198425298593	78592251D	USD	136.75
DO41KY9H93712983353200450117	08899412E	754.81	EUR
ES4718187575330891239993	61478341P	EUR	183.8
BR7290090080963467151419029U2	28047910P	350.29	GBP
LT404680925845138006	33964464L	CHF	826.36
FO9238258269917892	08899412E	120.1	USD

PT98222714410307122371827	33964464L	GBP	966.23

IL067232806882363728	53365974H	805.13	RUB
	633.95	SEK
XK180068384138336739	53072757G	CHF	
UA761330313560969297851033726	33964464L	672.67	SEK
BG64ZYDB016049B51JMUCU	38871658W	SEK	
CR3128580029806078268	90467036D	156.48	SEK
IR176571293272654756861852	49284913F	EUR	885.66
IS980339257905051446545486	38871658W	RUB	883.09
FO3735876142209257	68959267T	CHF	323.07
AD6527527677TJCTJOHBQLKJ	61873424C	172.13	CHF
DO38IL6559206363439644803826	45566106R	RUB	395.83
FR682539276248I8ZTO8DOJPN36	52141397Y	EUR	224.09

EE951921847242977559	61873424C	RUB	891.11
TL541166078438313575429	68879644A	BUR	444.65
BG64ZYDB016049B51JMUCU	38871658W	669.57	EUR
	978.15	USD
ES4962575910679067061475	82288442P	EUR	125.18
BH13DAYWFNRJ0GN2RAA7UR	82288442P	282.79	USD
SM59J4985929449INF26CCFYJ37	15449763L	EUR	904.18
IE92ZGTS39160560652552	82288442P	RUB	101.82
	790.71	GBP
GR472662377QRYWJJB76MDKWVY5	69578568A	RUB	31.34
Ninety nine rocks
Ninety nine rocks
LT404680925845138006	33964464L	477.84	SEK
BR7290090080963467151419029U2	28047910P	SEK	491.4
	611.62	SEK
	USD	N/A
IL055091996124285266508	09651809C	333.56	RUB
Ninety nine rocks
UA538840557549114757901561455	69578568A		DKK
Ninety nine rocks
MC148366787383U6KBXX8ERM167	65092468F	934.13	USD
AL4456909000GSUDO7J539MIJH1L	48974836Q	849.16	GBP
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	580.61	EUR
EE951921847242977559	61873424C	GBP	317.3
IE96EEMA36946143714469	49284913F	EUR	899.26
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	878.58	USD
SA1782PK3NF0P8QAE54PWQE3	34712164N	USD	211.16
Ninety nine rocks
BG52YAMZ2798316FA0S342	21211380K	192.23	DKK
AL82864783232AY3OS32O9RUBQO8	92650070K	0.59	GBP
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	285.08	USD
IL883543164433395339809	25605636N	DKK	830.94
IE92ZGTS39160560652552	82288442P	361.01	SEK
AD2206695671VH1ZHCJ41WML	34712164N	RUB	381.56
		541.21

Ninety nine rocks
BH45AGIJDDMI1S7IVMPBYX	72652162S	CHF	944.73
HU15418903579542555773697655	48974836Q		EUR
EE951921847242977559	61873424C	602.67	SEK
GI19VETPFLRU0L1HZE6FI50	72652162S	GBP	565.81
TN5872164OGDBPYXG9LENMKY	32775503C	596.65	CHF
ES1359823640102827616922	08899412E	GBP	
SM97G79397716272U9A9OBTJV1J	61873424C	EUR	
ME10920049706023941954	68879644A	USD	492.25
	943.7	EUR
Ninety nine rocks
Ninety nine rocks
MC842659327688NQYJW0V4CHU32	53597542K	RUB	437.94
PK69L0BH8621817146060690	90028562F		673.55
UA761330313560969297851033726	33964464L	CHF	625.39
LT352161628775605252	52141397Y	DKK	792.75
	DKK	959.06
	831.88	CHF
DO757XIN61379289461304191141	21211380K	SEK	927.48
DO41KY9H93712983353200450117	08899412E	644.9	DKK
PT30733844778295738083204	25605636N	DKK	446.14
FR067375965728LIMCBIKY04Q10	69578568A	890.58	KK
ME16982539287692129889	39806689Z	856.86	DKK
LV90GZABEFC7YL8CKPRIT	45820675Y	392.15	CHF
Ninety nine rocks
Ninety nine rocks
GE69NB5057725923884251	68879644A	56.9	RUB

	USD	804.96
UA964557479287233718409674295	78114389H	997.33	CHF
	302.42	RUB
FO3735876142209257	68959267T	126.98	GBP

BA384377280747809071	28047910P	SEK	65.86
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	USD	123.34
