DO41KY9H93712983353200450117	08899412E	142.86	
DO38IL6559206363439644803826	45566106R	689.5	RUB
CR4034466866742477204	92650070K	369.1	GBP

HU22190225373946217712707979	09651809C	CHF	605.33
IE63LFMV23097240688740	73364721B	700.15	GBP
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	GBP	283.16
XK653384625153233371	43733112S	234.28	EUR
TN18118719KP723ZYRPADNG5	08899412E	GBP	969.24
PK19XXR25392269503727898	65092468F	817.21	DKK
HR4850788821598398500	34712164N	849.16	
TR6389231PIDVKBEWMNZGSGERM	39670968Q	DKK	293.5
	772.23	EUR
FR6886408378912CSCX6FNQDF88	46431533F	829.22	RUB
BE71843948421221	41656686Y	343.73	RUB
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	132.41	
	GBP	316.05
GB62WGVI99163003599889	46431533F	22.38	USD
Ninety nine rocks
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	GBP	233.78
DO38IL6559206363439644803826	45566106R		
ME16982539287692129889	39806689Z	GBP	366.32
BA384377280747809071	28047910P	368.91	GBP
ME66621247978064842093	45566106R	RUB	815.36
DO41OE1F71300090297196859317	53072757G	397.68	RUB
MC400682288485KUAY58STITO40	38871658W	DKK	195.88
PT98222714410307122371827	33964464L	EUR	945.14
	GBP	308.77
TL541166078438313575429	68879644A	USD	814.4
LT404680925845138006	33964464L	EUR	

TL312176758386021094474	45820675Y	59.56	GBP
MD22BLJACUIOIDPAPNN838U5	78592251D	RUB	555.21
HR4850788821598398500	34712164N	GBP	161.77
XK959557362593526620	56989796M	576.93	GBP

SK7685939604189549058799	15449763L	CHF	117.78
GE76HG3429778839455413	01216279Q	255.41	SEK
BG64ZYDB016049B51JMUCU	38871658W	SEK	550.39
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	901.85	GBP
VG13VRDJ7412591474836722	80518308T	DKK	956.83
CY1226960690HWXS17VH1FRUEURR	38871658W	109.54	GBP
TL541166078438313575429	68879644A	368.55	USD
TL541166078438313575429	68879644A	EUR	466.23
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	78.45	EUR
GR164360004BUQC9R2QU6WJNKZW	90467036D	97.37	DKK
HR1296219505926654396	34532646D	293.75	GBP
TR6389231PIDVKBEWMNZGSGERM	39670968Q	CHF	152.26
TN4619849WRCEBMJKF33ZPWG	68959267T	541.33	RUB
CZ1548502965088257735371	11713644C	SEK	989.06
TN4619849WRCEBMJKF33ZPWG	68959267T	RUE	392.5
DE09062364227116961150	46585803Q	USD	560.49
ME10920049706023941954	68879644A		SEK
AD2206695671VH1ZHCJ41WML	34712164N		SEK
	885.25	CHF
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	CHF	711.14

RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	32.42	
ME91204415592058131974	28744101N		
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	CHF	752.18
DE09062364227116961150	46585803Q	349.74	EUR
LV90GZABEFC7YL8CKPRIT	45820675Y	364.81	
Ninety nine rocks
MC987944106826B9BN6WA3QT157	11713644C	EUR	862.61
	671.47	USD
IL162768337079138447997	34532646D	SEK	929.6
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	GBP	719.65

GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	DKK	
BA384377280747809071	28047910P	SEK	
BE44640395214523	02669410F	USD	251.01

DO38IL6559206363439644803826	45566106R	826.38	RUB
Ninety nine rocks
SM97G79397716272U9A9OBTJV1J	61873424C	DKK	779.89
HR4850788821598398500	34712164N		RUB
GE76HG3429778839455413	01216279Q	USD	651.23
Ninety nine rocks
		459.79
Ninety nine rocks
SA916624X9GG21M3UBMKVPVX	39670968Q	USD	625.0
Ninety nine rocks
DE09062364227116961150	46585803Q		EUR
	466.24	SEK
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	RUB	196.13
EE709201509112700888	55103783S	DKK	206.91

Ninety nine rocks
XK653384625153233371	43733112S	718.42	EUR
SA1782PK3NF0P8QAE54PWQE3	34712164N	600.67	DKK
SA35720BD63GIF2Y3O04T01F	11713644C	772.42	SEK
Ninety nine rocks
FR4380461715659NWC070CZ6G58	90028562F		682.25
SE4072059930724762036425	46585803Q	SEK	949.36

FR682539276248I8ZTO8DOJPN36	52141397Y	RUB	420.96
NL22QHVX4830182943	02669410F	EUR	366.68
Ninety nine rocks
	KK	353.55
KZ94658KNDOP16GS0MQ8	43733112S		N/A
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	238.69	
CZ0277706812138182328590	32775503C	CHF	286.37
IR171391265758083409634677	53597542K	806.91	DKK
ME16982539287692129889	39806689Z	EUR	N/A
Ninety nine rocks
GE69NB5057725923884251	68879644A	DKK	757.29
AE13938V4DMVSF49YS1CBL2	78592251D	2.9	
DE09062364227116961150	46585803Q	DKK	968.86
ME49140146493717009212	32775503C	976.0	RUB
AD6527527677TJCTJOHBQLKJ	61873424C	SEK	
AD2206695671VH1ZHCJ41WML	34712164N	829.88	CHF
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	EUR	611.82
Ninety nine rocks
MK36877PHFLXB419P01	56989796M	654.15	SEK
FI5863104861846787	72652162S	RUB	907.09
MR6642901340725320676709130	41656686Y	N/A	CHF
HR2198178476216192029	80518308T	EUR	
Ninety nine rocks
UA538840557549114757901561455	69578568A	DKK	346.86
LT206097247476437800	43733112S	EUR	197.99
TL541166078438313575429	68879644A	RUB	807.38
TN5872164OGDBPYXG9LENMKY	32775503C	CHF	423.54
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	DKK	938.15
	767.64	SEK
AL1705361571EZPDI0TZ70PXVG3H	46431533F	996.02	
RS73278076436469452645	61478341P	123.52	GBP
GI27KKMIDQ6N3YVAQN4J89C	90028562F	SEK	749.23
Ninety nine rocks
BE71843948421221	41656686Y	RUB	626.49
LT206097247476437800	43733112S	USD	432.56
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z		
MC148366787383U6KBXX8ERM167	65092468F	DKK	972.46
FI4249627673709648	46585803Q	USD	292.3
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	DKK	21.54

LB863652PCCJG32R1PC8OE2VMAY7	17277755V	RUE	187.22
LT206097247476437800	43733112S		USD
Ninety nine rocks
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S		CHF
	336.25	USD
UA964557479287233718409674295	78114389H	891.05	RUB
MR6642901340725320676709130	41656686Y	GBP	
Ninety nine rocks
DO38IL6559206363439644803826	45566106R	215.73	DKK
MD22BLJACUIOIDPAPNN838U5	78592251D	EUR	850.68
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	GBP	880.93
Ninety nine rocks
EE951921847242977559	61873424C	822.04	RUB
FR765595701119MOEGZPV5KXN70	68959267T	792.1	GBP
IE92ZGTS39160560652552	82288442P	CHF	189.63
SK7685939604189549058799	15449763L	DKK	744.76
Ninety nine rocks
LT206097247476437800	43733112S	3.83	CHF
PT98222714410307122371827	33964464L	USD	264.42
IS171554950920843049747431	32884971P	USD	833.13
Ninety nine rocks
AE13938V4DMVSF49YS1CBL2	78592251D	DKK	361.21
SM59J4985929449INF26CCFYJ37	15449763L	RUB	184.69
SM08B8001360827MH4HE8ZWQZXP	57926790W	398.02	EUR
EE709201509112700888	55103783S	USD	642.44

GR472662377QRYWJJB76MDKWVY5	69578568A	689.41	RUB
