RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	749.21	GBP
LT352161628775605252	52141397Y	RUB	619.68
PL09657112501393580868416806	80518308T	77.68	RUB
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	RUB	505.4
MR9765784658715364589276794	46431533F	637.44	RUB
EE709201509112700888	55103783S	KK	223.11
UA964557479287233718409674295	78114389H	796.76	GBP
	197.76	USD
PK69L0BH8621817146060690	90028562F	173.76	

HU49663162407651895112051847	49284913F	DKK	93.92
EE951921847242977559	61873424C		SEK

KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	EUR	117.18
SA0994KFNAPS164YU9OOP574	57926790W		656.78
GR164360004BUQC9R2QU6WJNKZW	90467036D	964.57	RUB
Ninety nine rocks
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	CHF	411.75
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	565.8	RUB
Ninety nine rocks
Ninety nine rocks
TN4619849WRCEBMJKF33ZPWG	68959267T	627.72	
	SEK	170.84
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	SEK	762.2
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	USD	
	23.73	CHF
MC842659327688NQYJW0V4CHU32	53597542K	SEK	397.26
	DKK	365.84
FI1291198425298593	78592251D	USD	328.84
PK43OEM16114242963306575	41656686Y	203.46	USD
LT638365534312873039	28047910P	226.16	CHF
MC148366787383U6KBXX8ERM167	65092468F	315.86	
LT206097247476437800	43733112S	409.37	SEK
FI8497437259092369	92650070K	785.62	USD
	412.75	CHF
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	USD	658.9
CY1226960690HWXS17VH1FRUEURR	38871658W	73.94	EUR
IR978633059983370222138180	02669410F	878.59	EUR

FR765595701119MOEGZPV5KXN70	68959267T		380.02
	878.79	DKK
EE951921847242977559	61873424C	361.69	CHF
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	RUB	660.23
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	198.99	RUB
BE44640395214523	02669410F	RUB	563.94
BH45AGIJDDMI1S7IVMPBYX	72652162S	467.04	USD
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	SEK	949.51
GR164360004BUQC9R2QU6WJNKZW	90467036D	DKK	618.55
FR067375965728LIMCBIKY04Q10	69578568A	468.64	
MR9765784658715364589276794	46431533F	DKK	789.75
Ninety nine rocks
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S		GBP
ME16982539287692129889	39806689Z	35.2	DKK
IR510789771032621503621949	56989796M	EUR	467.07
IE96EEMA36946143714469	49284913F	RUB	225.0

HR1296219505926654396	34532646D	106.89	EUR
MD358F69VEV6FZO01VOURO61	53072757G	95.9	GBP
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	SEK	798.95
BH40JGQHIFW1PP4UDBSEGH	74853928Z	229.14	
Ninety nine rocks
MR9765784658715364589276794	46431533F	GBP	501.41
IE92ZGTS39160560652552	82288442P	793.59	USD
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	DKK	666.14
LI4962509CEPXCTP4493V	90467036D	576.43	RUB
BG64ZYDB016049B51JMUCU	38871658W	431.32	CHF
